Date,portfolio_top10,portfolio_top20,portfolio_top30,benchmark,allocation,regime
2016-06-30,0.271192,0.110821,0.094413,-0.177241,0.330000,risk_off
2016-07-31,0.299724,0.317770,0.304160,2.726886,0.330000,risk_off
2016-08-31,0.143436,0.152581,0.169471,2.739863,0.330000,risk_off
2016-09-30,0.113633,0.109738,0.114870,0.741441,0.330000,risk_off
2016-10-31,0.081514,0.085789,0.097260,1.463251,0.330000,risk_off
2016-11-30,0.056897,0.070876,0.063977,1.334606,0.330000,risk_off
2016-12-31,0.775242,0.313565,0.353112,1.934990,0.660000,neutral
2017-01-31,0.574368,0.472646,0.324221,1.549561,0.660000,neutral
2017-02-28,0.249402,0.258603,0.261651,1.038106,0.660000,neutral
2017-03-31,0.113463,0.094811,0.088576,-0.210836,0.660000,neutral
2017-04-30,0.254903,0.246175,0.253999,0.723683,0.660000,neutral
2017-05-31,0.145077,0.144094,0.164608,0.349398,0.660000,neutral
2017-06-30,0.119512,0.105638,0.094430,0.269357,0.660000,neutral
2017-07-31,0.233707,0.204306,0.187102,0.840290,0.660000,neutral
2017-08-31,0.052423,0.034808,0.018208,-0.721218,0.660000,neutral
2017-09-30,0.223475,0.216840,0.220409,1.704055,0.660000,neutral
2017-10-31,0.194452,0.150667,0.163084,0.727273,0.660000,neutral
2017-11-30,0.123573,0.031004,0.036118,0.135734,0.660000,neutral
2017-12-31,0.164200,0.145738,0.152000,0.258238,0.660000,neutral
2018-01-31,0.093675,0.124206,0.152866,1.746434,0.660000,neutral
2018-02-28,0.021661,0.022908,0.016834,-0.471380,0.330000,risk_off
2018-03-31,0.054731,0.023899,0.017821,-1.094522,0.330000,risk_off
2018-04-30,0.138341,0.113999,0.121190,1.128656,0.330000,risk_off
2018-05-31,0.068659,0.052912,0.036855,-0.613514,0.330000,risk_off
2018-06-30,0.091223,0.075860,0.073894,0.417203,0.330000,risk_off
2018-07-31,0.157439,0.143714,0.149150,1.109372,0.330000,risk_off
2018-08-31,0.072548,0.074421,0.069546,0.059087,0.330000,risk_off
2018-09-30,0.091296,0.081016,0.093283,1.040986,0.330000,risk_off
2018-10-31,-0.171903,-0.219664,-0.218906,-1.579020,0.660000,neutral
2018-11-30,-0.271694,-0.158066,-0.163832,-1.932128,0.330000,risk_off
2018-12-31,-0.587478,-0.493676,-0.464509,-3.859543,0.330000,risk_off
